code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score,verified,match_method
90218,MELATEX LIGHTENING MASK 50ML,MELATEX LIGHTENING MASK 50 ML,ميلاتيكس ماسك تفتيح 50 مل,1361100.0,91.2,algo_match,brand_index
85930,MELATEX LIGHTENING ROLL-ON,MELATEX LIGHTENING CLEANSER 200 ML,ميلاتيكس غسول تفتيح 200 مل,1771803.0,85.1,ai_confirmed,ai_verified
83425,melatex lightening roll OFFER,MELATEX LIGHTENING ROLL ON 40 ML,ميلاتيكس رول اون للتفتيح 40 مل اوريجينال,2594519.0,82.0,ai_confirmed,ai_verified
88221,MELATIME SUNSCREEN SPF+50 CREAM GEL 120 ML,,,,,,no_match
15345484,MELATONIN 3 MG 30 CAPS,MELATONIN HELIAN 3 MG 30 CAPS,ميلاتونين هيليان 3 مجم 30 اقراص,1948945.0,86.3,ai_confirmed,ai_verified
84805,MELATONIN COPAD 30 TAB,MELATONIN COPAD 30 TAB,ميلاتونين 30 ك,2299755.0,100.0,algo_match,brand_index
89984,melatonin dissolvable strips 20,,,,,,no_match
81064,MELLITOFIX 10 MG 30 TABS,MELLITOFIX 10 MG 30 F.C. TABS.,ميليتوفكس 10 مجم 30 اقراص,2455274.0,92.3,algo_match,brand_index
80851,mellitofix 25 mg 30 tablets,MELLITOFIX 25 MG 30 F.C. TABS.,ميليتوفكس 25 مجم 30 اقراص,905232.0,87.3,ai_confirmed,ai_verified
78114,MELLITOFIX MET 12.5/1000 MG 30 F.C. TABS,MELLITOFIX MET 5 / 1000 MG 30 F.C. TABS.,ميليتوفكس ميت 5 / 1000 مجم 30 اقراص,2625652.0,90.9,algo_match,brand_index
78332,MELLITOFIX MET 12.5/500 MG 30 F.C. TABS,MELLITOFIX MET 12.5 / 500 MG 30 F.C. TABS.,ميليتوفكس ميت 12.5 / 500 مجم 30 اقراص,2355071.0,87.2,ai_confirmed,ai_verified
