كود,إسم الصنف,سعر البيع
91428,ATOR 80 MG 10 F.C.TABS,112.0
77040,ATOREZA 10/10 28 TABS,166.0
77041,ATOREZA 10/40 28 TAB,210.0
61830,ATOREZA 10MG/20MG 21 TAB,141.0
89206,ATOREZA 80/10MG 28 F.C. TAB,210.0
58377,ATORSTAT 10 MG 14 TAB,56.0
58442,ATORSTAT 20 MG 14 TAB,64.0
59076,ATORSTAT 40 MG 14 TAB,76.0
47434,ATORSTAT 80 MG 10 TAB,64.0
78681,ATRAKTA RE/FORCE HAIR 12-AMP,660.0
58966,ATROPINE SULPHATE 6 AMP,39.0
AT25,ATROVENT 250 MCG VIAL,286.0
AT50,ATROVENT 500 MCG VIAL,286.0
79858,ATROZEMB 10/10 MG 30 TABS,228.0
15645446,ATROZEMB 20/10 30 TABS,228.0
85569,ATROZEMB 40/10MG 30 F.C. TAB.,243.0
73536,ATSHI 10 F.C. TABS,26.0
86783,AUG-DERMA PANTHENOL CREAM 30 GM,90.0
AUG,AUGMENTIN 1 GM 14 TAB,210.0
20506,AUGMENTIN 156MG SYRP,99.0
51802,AUGMENTIN 20ML DROPS 62.5MG,86.0
20555,AUGMENTIN 312MG SYRP,120.0
74823,AUGMENTIN 457MG SYP,137.0
75043,AUGMENTIN 625MG 10 TABS,117.0
68944,AUGMENTIN DUO 200/28 MG/5 ML SUSP 70 ML,31.2
75223,AUGMENTIN DUO 228 /5 MG SUSP 70 ML,107.0
73895,AUGMENTIN ES 600 MG 75ML SYP,169.0
82690,AUGRAM 1 GM 14 TAB,152.0
79472,AUGRAM 1 GM 7 TABS,76.0
79530,AUGRAM 228.5 60ML SYRUP,56.0
79503,AUGRAM 457MG 60ML SYP,67.0
79500,AUGRAM 642.9 MG 60ML,87.0
73920,AVAMYS 120 SPRAYS,160.0
19170,AVARA 10 MG 30 TAB,315.0
21296,AVARA 20 MG 30 TAB,483.0
82198,AVAZIR 0.03% OPHTHALMIC OINT,28.0
60687,AVAZIR DROPS 10 ML,28.0
79498,AVEROBIOS 642.9MG 60ML SYRUP,104.0
79499,AVEROBIOS 642.9MG 75ML,118.0
84727,AVEROCOXIB 90MG -20TAB,228.0
83212,AVEROFAGE 15/500MG 30 F.C. TABS.,55.5
80495,AVEROFAGE 15/850 MG 30TABLETS,76.5
83889,AVEROFEROZ 30 TABS,110.0
73317,AVEROMILAN 50 MG 30 TAB,106.5
79861,AVEROTHIAZIDE 10/40/12.5 MG 30 F.C. TABS.,126.0
86545,AVEROTHIAZIDE 40/5/25 MG 30 TAB,123.0
79859,AVEROTHIAZIDE 5/12.5/40 MG 30 TABS,123.0
79860,AVEROTHIAZIDE 5/20/12.5 MG 30 F.C. TABS.,93.0
74657,AVEROZOLID 100 MG 150 ML SUSP,106.0
77526,AVEROZOLID 100MG/5ML SUSP. 60 ML,67.0
54940,AVEROZOLID 600 10 TAB,231.0
68096,AVEROZOLID I.V INFUSION 300 ML,126.0
74870,AVETRIX GEL 100 G,115.0
73396,AVIL 6 AMP,69.0
67315,AVIVAVASC 10/160MG 28TAB,140.0
79696,AVIVAVASC 5/160 MG 28TABLETS,124.0
AVO,AVOBEANO 10CAP,150.0
77106,AVODART .5MG 30-CAP,313.0
88085,AVOREXAL 30 CAPSULES,270.0
54754,AVOSOYA 30CAP GELATIN,350.0
88571,awadilevo 500 10 tab,92.0
91823,Awadist 1000 mg Tab,60.0
86087,AWADIST PLUS 20 TABS,56.0
91839,AXICA 20 Tab,100.0
90266,AXOMYELIN ULLTRA 30TAB 600MG,460.0
89070,AYAPENAM 500/500MG VIAL FOR I.V. INF,289.0
21829,AZADERM CREAM 30g,87.0
79187,AZALIDE 500MG 3 CAPS.,52.0
58044,AZARGA EYE DROPS 5 ML,192.0
86249,AZATHIOPRINE-EVAPHARMA 100 MG 30 F.C TABS.,153.0
86370,AZATHIOPRINE-EVAPHARMA 50 MG 30 F.C TABS,96.0
79505,AZELAST PLUS SPRAY,102.0
81341,AZGOFLOX 400 MG 10 FC TAB,133.0
59056,AZGOVANCE 20 MG 7 CAP,19.0
59055,AZGOVANCE 40 MG 7 CAP,47.5
88079,AZHA MED CONCEALER 2*1 12 ML CREAM,265.0
62015,AZI-ONCE 250 MG 6 CAP,54.0
89504,AZITANAD 500MG TAB,63.0
90833,AZITHROMASH 500 MG 3 F.C. TABS,48.0
84546,AZITHROMYCIN-AUG 500 MG 6 F.C.TABS,126.0
81696,azrolid 200 syrup 30 ml,62.0
81697,AZROLID 200MG/5ML 15 ML SUSP,45.0
83805,AZROLID 200MG/5ML PD. FOR ORAL SUSP. 22.5ML,54.0
5101,AZROLID 500 MG 3 TAB,63.0
81233,AZROLID 500 MG 6 TAB,126.0
73321,B-COM I.M./I.V. 6 AMP.,48.0
79237,B-FRESH 0.05% MOUTHWASH 250 ML CLOVE,27.0
60591,B-FRESH MOUTHWASH MINT 250MLاخضر,27.0
90204,B-MELT 30 INSTANT DISSOLVE TABS,160.0
4300,B B C SPRAY,49.0
79693,B_FRESH BLUE MOUTHWASH 250ML,27.0
84842,b12 sano pharma 30 s tab,99.0
73085,BABETONE SUGAR FREE SYRUP 120 ML,35.0
73084,BABETONE SYRUP 120 ML,35.0
27326,BABY CALM 15 FILTERS,40.0
19369,BABY CREAM 30GM,45.0
80509,BABY CREAM 60GM,75.0
88348,BABY RELIEF 25 MG 10 SUPP.,38.0
22797,BABY RELIEF 25MG SUPP,13.0
88234,BABY RELIFE 12.5 2 STRIPS SUPP,36.0
85814,BABY WAY SOOTHING BABY CREAM 75GM,80.0
91074,BACLOFEN 10MG TAP,30.0
73823,BACLOFEN 10MG TAB,30.0
73824,BACLOFEN 25MG TAB,27.0
