code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score
88213,FIANCEE ANION & CASTOR 240 ML CREAM,,,,
88214,FIANCEE LEMON & ALOE 240 ML CREAM,,,,
61994,FINASTURA 5 MG 30 TAB,FINASTURA 5 MG 30 F.C.TAB.,فيناستورا 5 مجم 30 اقراص,1740464,91.3
83600,FINE DERM CREAM 30GM,,,,
83601,FINE DERM CREAM 50GM,,,,
91624,FINOXLAB 20 MG 20 F.C.TABS,FINOXLAB 20 MG 20 F.C.TABS,فينوكسلاب 20 مجم 20 اقراص,2299297,100.0
86214,FIRSTVOC HAIR LOTION 120 ML,FIRSTVOC HAIR LOTION 120 ML,فيرست فوك لوشن الشعر 120 مل,2501037,100.0
88767,FIRSTVOC SHAMPOO&COONDITIONER FRIZZ CONTROL 200 ML,,,,
88504,FISH TOOTHBRUSH SILICONE,,,,
84958,FITAMART CREAM 50GM,,,,
86089,FITMOTUS 30 F.C. TABS.,,,,
79387,FITO CREAM,,,,
57416,FITT-BAR SOAP,,,,
40055,FLABU DROPS,,,,
83319,FLACORT 30 MG 20 TABS.,FLACORT 30 MG 20 TABS.,فلاكورت 30 مجم 20 اقراص,1325377,100.0
82923,FLACORT 6 MG 20 TABS.,FLACORT 6 MG 20 TABS.,فلاكورت 6 مجم 20 اقراص,2436791,100.0
3220,FLADAZOLE 500 MG 4 TAB,FLADAZOLE 500 MG 4 TAB.,فلادازول 500 مجم 4 اقراص,2454693,100.0
46667,FLAGELLAT FORTE 200 MG SUSP,,,,
90253,flagoshown 20 tab,,,,
73371,FLAGYL 500 MG 20 TAB,FLAGYL 500 MG 20 TAB.,فلاجيل 500 مجم 20 اقراص,1601862,100.0
73296,FLAGYL SUSP 125 MG 100 ML,,,,
81452,flamifast 50 mg tab,,,,
63147,FLAMIFAST 50MG 30 TAB,,,,
91016,FLAMOFENAC 5ML EYE DROP,,,,
75036,FLAMOGEN 30 TAB,FLAMOGEST 30 TAB,فلاموجيست 30 اقراص,2436793,90.3
86315,FLAMOGEST 30 TABS,FLAMOGEST 30 TAB,فلاموجيست 30 اقراص,2436793,97.0
63999,FLAMOTAL 400MG 30TAB,,,,
63152,FLAMOTAL 600MG 20TAB,,,,
57836,FLAMOTAL 800 MG 10 TAB,FLAMOTAL 800 MG 10 TAB.,فلاموتال 800 مجم 10 اقراص,904280,100.0
79736,FLASH ACT 9 SACHETS,,,,
32190,FLATIDYL 30 CHEWABLE TAB,,,,
84307,FLAVICEF 100/5ML 30ML SUSP,,,,
81695,FLAVICEF 100/5ML 60 ML SUSP,,,,
57324,FLAVICEF ORAL SUSP 60 ML,,,,
75187,FLAZACOR 30 MG 10 TAB,FLAZACOR 30 MG 10 TABS.,فلازاكور 30 ​​مجم 10 اقراص,1535377,97.7
43854,FLAZACOR 6 MG 10 TAB,FLAZACOR 6 MG 10 TABS.,فلازاكور 6 ​​مجم 10 اقراص,2127590,97.6
55989,FLEBOTON 3 AMP,,,,
73208,FLECTOR 50 MG 30 CAP,FLECTOR 50 MG 30 CAPS.,فليكتور 50 مجم 30 كبسول,2313332,97.6
73142,FLECTOR GEL 25 GM,,,,
79364,FLEXEZE MASSAGE GEL 50GM,,,,
65946,FLEXILAX 50/500 MG 30 TAB,,,,
18209,FLEXOFAN 20 CAP,FLEXOFAN 20 CAPS.,فليكسوفان 20 كبسول,1579681,96.8
85083,FLEXOLYTE 240 ML CALASIC,FLEXOLYTE CLASSIC 240 ML,فليكسولايت كلاسيك 240 مل,1813215,95.8
82449,flexolyte 240 ml orange,,,,
82450,FLEXOLYTE STRAW. ORAL REHYDRATION SOL. 240 ML,FLEXOLYTE STRAWBERRY ORAL REHYDRATION SOL. 240 ML,فليكسولايت فراوله 240 مل,2513623,94.5
55141,FLEXPRO EXTRA 20 TAB,,,,
64094,FLIX NASAL SPRAY 50 MCG/METERED SPRAY DOSE,FLIX NASAL SPRAY 50 MCG / METERED SPRAY DOSE,فيليكس 50 مكجم بخاخ للانف,904319,95.3
73840,FLIXONASE SPRAY,,,,
249,FLIXOTIDE EVOHALER 125 MG,,,,
74404,FLIXOTIDE DISKUS 250MCG,,,,
75114,FLIXOTIDE EVOHALER 50MCG,,,,
65934,FLOPADEX 4 MG 20 CAP,,,,
75515,FLOPADEX 8 MG 30 CAP,,,,
87004,FLORAX 20 CAP,,,,
82481,FLORAX 24PIECES 2STRIPS,,,,
74566,FLOTAC 75 MG 20 CAP,FLOTAC 75 MG 20 CAPS.,فلوتاك 75 مجم 20 كبسول,904291,97.4
85444,flowadjust 25 30 tab,FLOWADJUST 25 MG 30 TABS,فلوداجيست 25 مجم 30 اقراص,2470398,90.9
73709,FLOXAMO 1 GM 16 TAB,FLOXAMO 1 GM 16 TABS,فلوكسامو 1 جم 16 اقراص,2127894,97.4
79195,FLOXEPCI 10 TABLETS,,,,
90615,FLOZIGLIPTIN 10/5 MG 30 F.C. TABS,,,,
49613,FLU-C EFF 6 SACHETS,,,,
23033,FLUB SUSP,,,,
53784,FLUCA DROPS 5 ML,,,,
30350,FLUCAMOX 1GM VIAL,,,,
18842,FLUCORAL 2CAPS,,,,
92298,FLUCORAL 4 CAPS,,,,
74308,FLUGENIL 600 MG 10 VAG OVULES,,,,
74906,FLUGENIL VAGINAL GEL,,,,
64363,FLUIMUCIL 600 MG 10 EFF TAB,FLUIMUCIL 600 MG 10 EFF. TABS.,فلوموسيل 600 مجم 10 اقراص فوراه,1601836,98.2
73785,FLUMOX 1 GM I.M/I.V. VIAL,,,,
73486,FLUMOX 1000MG 15CAP,,,,
73496,FLUMOX 250MG CAP,,,,
73310,FLUMOX 500 MG 16 CAP,FLUMOX 500 MG 16 CAPS.,فلوموكس 500 مجم 16 كبسول,904309,97.6
81458,flunzapine 12/50 cap,,,,
81456,flunzapine 6/25 cap,,,,
91137,FLUOROCARE ORAL GEL,,,,
34952,FLUOXETINE CAP,,,,
FLU,FLUREST 20 TAB,FLUREST N 20 TABS.,فلورست ان 20 اقراص,2436807,90.3
84597,FLUROFLOX 400 mg 10 TAB,FLUROFLOX 400 MG 10 F.C. TABS.,فلوروفلوكس 400 مجم 10 اقراص,904295,90.2
59476,FLUROQUINOMOX 05% 5 ML,,,,
20148,FLUTIN CAP,,,,
17360,FLUVER SUSPENSION,,,,
20149,FLUVER TAB,,,,
48174,FLUXOPRIDE 5 MG 30 TAB,,,,
89261,FOCUSTIN 250MG/5ML SYRUP 60 ML,,,,
89184,FOCUSTIN 500 MG 20 CAPS,,,,
87828,FOGG OSSUM FANTASY 120 ML,,,,
86136,fogg spray fizzy dew 120 ml,,,,
89941,FOLAFLIC 20 CAPS,FOLAFLIC 20 CAPS,فولافوليك 20 كبسول,2610684,100.0
77091,FOLDEX CREAM 50ML,,,,
86930,FOLEX 30 CHEW. TABS,FOLEX 30 CHEW. TABS,فوليكس 30 اقراص للمضغ,1659112,100.0
73297,FOLIC ACID (MEPACO) 500 MCG 20 TABS.,FOLIC ACID (MEPACO) 500 MCG 20 TAB.,فوليك اسيد (ميباكو) 500 مكجم 20 اقراص,2143925,98.6
77759,FOLIC ACID 5 MG 20-TAB EPICO,,,,
78323,FOLIC ACID 5 MG 30 TABS,,,,
89663,FOLIC B COMPLEX 20 TABS,FOLIC B COMPLEX 20 TABS,فوليك ب كومبلكس 20 اقراص جديد / بروكسي كير,2646151,100.0
77086,FOLICAP 2.5MG 24-CAP,,,,
92100,FOLIPLEX LOZENGES,,,,
86777,FOLLIGANT SHAMPOO 250 ML,FOLLIGANT HAIR SHAMPOO 250 ML,فوليجانت سيرم بخاخ 250 مل ق / افانو,2357756,90.6
46674,FOLLITONE HAIR OIL 120ML,,,,
38776,FOLLITONE HAIR SPRAY,,,,
87927,FONDACLAV 1 GM 12 F.C TABLETS,FONDACLAV 1 GM 12 F.C. TABS.,فونداكلاف 1 جرام,2682848,94.5
78381,FOOT SMART CREAM 60 GM,FOOT SMART CREAM 60 GM,فوت سمارت كريم 60 جم,1612819,100.0
89363,FOR KIDS D3 400 I.U./DROP ORAL DROPS 15 ML,,,,
91854,For Kids Parrot Syurp,,,,
81337,FORACT MASSAGE CREAM 50GM,,,,
89600,FORADIL 60CAPS,,,,
78342,FORBUDES 400/12MCG 60 INH. CAPS.+INHALER,,,,
81449,FORFLOZIN 10 MG 30 F.C.TABS,FORFLOZIN 10 MG 30 F.C. TABS.,فورفلوزين 10 مجم 30 اقراص,2569365,100.0
86535,FORFLOZIN 5 MG 30 TABS,FORFLOZIN 5 MG 30 F.C.TABS,فورفلوزين 5 مجم 30 اقراص,2128106,91.7
83846,FORMAMY 30 TABS,FORMAMY 30 C. TABS,فورمامي 30 قرص,2454731,93.8
87880,FORMAMY NIPPLE CREAM 50 GM,,,,
91794,FORMAMY SCAR GEL 30 ML,,,,
75614,FORMOHALE 12 UGM 30 CAP,,,,
74243,FORTAMIND 100MG/ML ORAL DROPS 30 ML,,,,
77090,FORTAMIND 1GRAM 5-AMP,,,,
77295,fortazedim 1g vial,,,,
66326,FORTIBIOTIC 1500 MG VIAL,,,,
81938,fortibone 10 sachet,FORTIBONE 10 SACHETS,فورتيبون 10 اكياس,1804739,97.4
82800,FORTIFERRUM 14 SACHET,FORTIFERRUM 14 SACHETS,فورتي فيرم اكياس,2681267,97.7
67408,FORTRUSTEP 60 MG 6 TABS,FORTRUSTEP 60 MG 6 F.C. TABS.,فورتروستيب 60 مجم 6 اقراص,904348,92.0
73417,FORTUM 1 GM VIAL,FORTUM 1 GM VIAL.,فورتام 1 جم امبول,1923643,100.0
73538,FORTUM 500MG VIAL,,,,
59478,FORTYMOX 0.5% 10 ML,,,,
79215,FORTYMOX PLUS EYE DROPS,FORTYMOX PLUS EYE DROPS 5 ML,فورتموكس بلس قطره 5 مل,2145324,90.2
3954,FORXIGA 10 MG 28 TAB (ASTRAZENECA),,,,
77107,FORXIGA 5MG 28-TAB,,,,
18268,FOSAMAX 70MG TAB,,,,
46832,FOSAVANCE 70MG/2800UI 2TAB,,,,
59560,FOSTIMON 150 i u VIAL,,,,
10409,FOSTIMON 75 I.U VIAL,,,,
90676,FOSTINEOCORT 20GM,,,,
92130,FOSTMON 150 I.U,,,,
98259,FOUR VENT SYRUP 125ML,,,,
88400,FOWGO 30 SOFT GELATIN CAPSULES,,,,
80105,FOX-125MG 10TABS,,,,
92036,FOXILAGE 30 ML ORAL DROPS,FOXILAGE ORAL DROPS 30 ML,فوكسيلاج قطره بالفم 30 مل,2378520,100.0
32130,FOXIME 1 GM IM VIAL,,,,
77093,FOXIME 500MG VAIL,,,,
39916,FREE BABY SYP,,,,
91165,FREE SYRUP,,,,
83353,FREE VIT 20 TABLETS,FREE VIT 20 TABS,فري فيت 20 اقراص,2371027,91.4
85525,FRESH BREATH STRAWBEERY SPRAY 30ML,,,,
87469,FRIOMED MASSAGE GEL,,,,
87468,FROST MAX TOPICAL SPRAY 200 ML,FROST MAX TOPICAL SPRAY 200 ML,فروست ماكس بخاخ 200 مل,2560764,100.0
55841,FROST SPRAY 100 ML,,,,
66043,FROST TOPICAL GEL 100 GM,,,,
84169,FUCI-TOP-C CREAM 15 GM,,,,
65503,FUCICORT 20 GM CREAM,FUCICORT CREAM 20 GM,فيوسيكورت كريم 20 جم,2289754,100.0
56040,FUCICORT 30 GM CREAM,FUCICORT CREAM 30 GM,فيوسيكورت كريم 30 جم,2215300,100.0
77303,FUCICORT CREAM 15GM,,,,
74691,FUCIDEL CREAM 15 GM,FUCIDEL 2 % CREAM 15 GM,فيوسيديل 2 % كريم 15 جم,2626680,90.5
77095,FUCIDIN 20GM CREAM,,,,
74240,FUCIDIN CREAM 15 GM,FUCIDIN 2 % CREAM 15 GM,فيوسيدين 2 % كريم 15 جم,2215298,90.5
73290,FUCIDIN CREAM 30 GM,FUCIDIN 2 % CREAM 30 GM,فيوسيدين 2 % كريم 30 جم,2224255,90.5
10745,FUCIDIN OINT 15 GM,,,,
74692,FUCIDIN OINTMENT 20 GM,,,,
73548,FUCIDIN OINTMENT 30 GM,,,,
90995,FULPRAZAL 40 MG 14 CAPS.,FULPRAZAL 40 MG 14 CAPS,فولبرازال 40 مجم 14 كبسول,904290,100.0
